"genus_sp","LHT"
"Acanthastrea echinata","stress-tolerant"
"Acropora clathrata","na"
"Acropora divaricata","competitive"
"Acropora digitifera","na"
"Acropora granulosa","competitive"
"Acropora hemprichi","competitive"
"Acropora humilis","competitive"
"Acropora hyacinthus","competitive"
"Acropora muricata","competitive"
"Acropora robusta","competitive"
"Acropora tenuis","competitive"
"Astreopora myriophthalma","stress-tolerant"
"Cespitularia sp1","na"
"Cosanacea crassa","na"
"Cyphastrea chalcidicum","stress-tolerant"
"Coscinarea monile","na"
"Diploastrea heliopora","stress-tolerant"
"Dipsastrea favus","stress-tolerant"
"Dipsastrea matthai","stress-tolerant"
"Dipastrea(Favia) pallida","stress-tolerant"
"Dipsastrea speciosa","na"
"Dipsastrea stelligira","na"
"Echinophylia aspera","na"
"Echinopora gemmacea","generalist"
"Echinopora hirsutissima","na"
"Echinopora lamellosa","na"
"Echinopora mammiformis","na"
"Favites complanata","na"
"Favites halicora","stress-tolerant"
"Fungia fungites","stress-tolerant"
"Fungia paumotensis","na"
"Fungia repanda","na"
"Fungia scutaria","na"
"Galaxea astreata","stress-tolerant"
"Galaxea fascicularis","stress-tolerant"
"Goniastrea edwardsi","stress-tolerant"
"Goniastrea retiformis","stress-tolerant"
"Goniastrea palauensis","na"
"Halomitra pileus","na"
"Hydnophora exaesa","generalist"
"Isopora palifera","na"
"Leptastrea transversa","na"
"Leptoseris mycetoceroides","na"
"Leptoseris yabbei","na"
"Lobophylia corymbosa","stress-tolerant"
"Lobophylia hemprichii","na"
"Millepora exaesa","weedy"
"Monstratea curta","weedy"
"Merulina ampliata","generalist"
"Montipora venosa","stress-tolerant"
"Pachyseris speciosa","generalist"
"Pavona clavus","stress-tolerant"
"Pavona varians","stress-tolerant"
"Pavona venosa","na"
"Pavona explanulata","na"
"Pavona maldiviensis","na"
"Physogyra lichtenstchteni","stress-tolerant"
"Platygyra daedalea","stress-tolerant"
"Platygyra lamellina","stress-tolerant"
"Platygyra pini",""
"Pocillopora damicornis","weedy"
"Pocillopora verrucosa","competitive"
"Podabacia crustacea","na"
"Porites anae","stress-tolerant"
"Porites cylindrica","weedy"
"Porites lobata","stress-tolerant"
"Porites lutea","stress-tolerant"
"Porites nigrescens","na"
"Porites profundus","na"
"Porites rus","weedy"
"Porites solida","na"
"Psamaocora profundacella","na"
"Psamocora nierztrazi","na"
"Seriatopora histrix","weedy"
"Turbinaria mesenterina","competitive"
