"date","site","name","x","y","z","species","observer","note","id","site_id"
"22/02/2022","surprise","tag_4",45.15095,-12.630232,4.7,"Isopora palifera","FG",NA,"4","su"
"22/02/2022","surprise","tag_15",45.150962,-12.630219,4.8,"Goniastrea retiformis","AC",NA,"15","su"
"22/02/2022","surprise","tag_11",45.150993,-12.630314,3,"Goniastrea retiformis","AC",NA,"11","su"
"22/02/2022","surprise","tag_17",45.15094,-12.630318,4.4,"Hydnophora exaesa","AC",NA,"17","su"
"22/02/2022","surprise","tag_1",45.15092,-12.630321,2.5,"Isopora palifera","FG",NA,"1","su"
"22/02/2022","surprise","tag_2",45.150918,-12.630329,2.7,"Isopora palifera","FG",NA,"2","su"
"22/02/2022","surprise","tag_12",45.15089,-12.630346,5.2,"Goniastrea retiformis","AC",NA,"12","su"
"22/02/2022","surprise","tag_18",45.150899,-12.63035,4.6,"Hydnophora exaesa","AC",NA,"18","su"
"22/02/2022","surprise","tag_8",45.150917,-12.630392,5.4,"Pocillopora damicornis","SB",NA,"8","su"
"22/02/2022","surprise","tag_9",45.150949,-12.630392,5,"Pocillopora damicornis","SB",NA,"9","su"
"22/02/2022","surprise","tag_10",45.150963,-12.630377,5,"Pocillopora damicornis","SB",NA,"10","su"
"22/02/2022","surprise","tag_6",45.150922,-12.630369,4.7,"Pocillopora damicornis","SB",NA,"6","su"
"22/02/2022","surprise","tag_13",45.150928,-12.63034,4.8,"Goniastrea retiformis","AC",NA,"13","su"
"22/02/2022","surprise","tag_19",45.150942,-12.630293,4.1,"Hydnophora exaesa","AC",NA,"19","su"
"22/02/2022","surprise","tag_3",45.15088,-12.630297,4.8,"Isopora palifera","FG",NA,"3","su"
"22/02/2022","surprise","tag_14",45.150963,-12.630338,5,"Goniastrea retiformis","AC",NA,"14","su"
"22/02/2022","surprise","tag_5",45.150985,-12.630245,5.2,"Isopora palifera","FG",NA,"5","su"
"22/02/2022","surprise","tag_7",45.150899,-12.630392,5.3,"Pocillopora damicornis","SB",NA,"7","su"
"22/02/2022","airport","tag_8",45.279375,-12.824483,2.7,"Porites cylindrica","SB",NA,"8","ae"
"22/02/2022","airport","tag_1",45.279395,-12.824481,1.4,"Acropora humilis","FG",NA,"1","ae"
"22/02/2022","airport","tag_2",45.279409,-12.824458,1.3,"Acropora humilis","FG",NA,"2","ae"
"22/02/2022","airport","tag_3",45.27939,-12.824451,1.5,"Acropora humilis","FG",NA,"3","ae"
