"d","model_path","sp_name","site_id","type","mod_desc_char_en","mod_desc_char_fr"
"ae1_022022_1","/data/outputs/ae1_022022_1","Acropora humilis","ae","competitive","This competitive coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Aéroport"""
"ae1_022022_10","/data/outputs/ae1_022022_10","Porites cylindrica","ae","weedy","This weedy coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Aéroport"""
"ae1_022022_11","/data/outputs/ae1_022022_11","Porites lutea","ae","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Aéroport"""
"ae1_022022_12","/data/outputs/ae1_022022_12","Porites lutea","ae","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Aéroport"""
"ae1_022022_13","/data/outputs/ae1_022022_13","Porites lutea","ae","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Aéroport"""
"ae1_022022_14","/data/outputs/ae1_022022_14","Porites lutea","ae","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Aéroport"""
"ae1_022022_15","/data/outputs/ae1_022022_15","Porites lutea","ae","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Aéroport"""
"ae1_022022_2","/data/outputs/ae1_022022_2","Acropora humilis","ae","competitive","This competitive coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Aéroport"""
"ae1_022022_4","/data/outputs/ae1_022022_4","Acropora humilis","ae","competitive","This competitive coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Aéroport"""
"ae1_022022_5","/data/outputs/ae1_022022_5","Acropora humilis","ae","competitive","This competitive coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Aéroport"""
"ae1_022022_6","/data/outputs/ae1_022022_6","Porites cylindrica","ae","weedy","This weedy coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Aéroport"""
"ae1_022022_8","/data/outputs/ae1_022022_8","Porites cylindrica","ae","weedy","This weedy coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Aéroport"""
"ae1_022022_9","/data/outputs/ae1_022022_9","Porites cylindrica","ae","weedy","This weedy coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Aéroport"""
"ib_022022_1","/data/outputs/ib_022022_1","Acropora sp.","ib","competitive","This competitive coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Île Blanche"""
"ib_022022_10","/data/outputs/ib_022022_10","Porites cylindrica","ib","weedy","This weedy coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Île Blanche"""
"ib_022022_11","/data/outputs/ib_022022_11","Platygyra daedalea","ib","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Île Blanche"""
"ib_022022_12","/data/outputs/ib_022022_12","Platygyra daedalea","ib","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Île Blanche"""
"ib_022022_13","/data/outputs/ib_022022_13","Platygyra daedalea","ib","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Île Blanche"""
