"d","model_path","sp_name","site_id","type","mod_desc_char_en","mod_desc_char_fr","licence","uri","uid"
"ae1_022022_1","/data/outputs/ae1_022022_1","Acropora humilis","ae","competitive","This competitive coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/e1e717a3e0f9468f88bdd1cde6239627","e1e717a3e0f9468f88bdd1cde6239627"
"ae1_022022_10","/data/outputs/ae1_022022_10","Porites cylindrica","ae","weedy","This weedy coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/49effc40f2fe447f880d1a6f84919435","49effc40f2fe447f880d1a6f84919435"
"ae1_022022_11","/data/outputs/ae1_022022_11","Porites lutea","ae","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/0bad5d41ed024b7098837297cefe7e81","0bad5d41ed024b7098837297cefe7e81"
"ae1_022022_12","/data/outputs/ae1_022022_12","Porites lutea","ae","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/e49811d5dc894324bf1235dba97fc9f6","e49811d5dc894324bf1235dba97fc9f6"
"ae1_022022_13","/data/outputs/ae1_022022_13","Porites lutea","ae","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/adb55381587a47e1bc3470c6c0a93adf","adb55381587a47e1bc3470c6c0a93adf"
"ae1_022022_14","/data/outputs/ae1_022022_14","Porites lutea","ae","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/1d3a7b32e7f84c50831f115ba8986560","1d3a7b32e7f84c50831f115ba8986560"
"ae1_022022_15","/data/outputs/ae1_022022_15","Porites lutea","ae","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/a4e8dccce7404907a9b56d5911078bcb","a4e8dccce7404907a9b56d5911078bcb"
"ae1_022022_2","/data/outputs/ae1_022022_2","Acropora humilis","ae","competitive","This competitive coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/7d4d3a811a764d15a4323de4a0e4400e","7d4d3a811a764d15a4323de4a0e4400e"
"ae1_022022_4","/data/outputs/ae1_022022_4","Acropora humilis","ae","competitive","This competitive coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/0e1ebe435b6e4028b66f8076ec391cb4","0e1ebe435b6e4028b66f8076ec391cb4"
"ae1_022022_5","/data/outputs/ae1_022022_5","Acropora humilis","ae","competitive","This competitive coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/e7580bbda79d4ebb8dd3e66e43312abc","e7580bbda79d4ebb8dd3e66e43312abc"
"ae1_022022_6","/data/outputs/ae1_022022_6","Porites cylindrica","ae","weedy","This weedy coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/7286ea4866614f6681ee45f65664cf6b","7286ea4866614f6681ee45f65664cf6b"
"ae1_022022_8","/data/outputs/ae1_022022_8","Porites cylindrica","ae","weedy","This weedy coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/9dd39e6aa2e64c189e723146196df966","9dd39e6aa2e64c189e723146196df966"
"ae1_022022_9","/data/outputs/ae1_022022_9","Porites cylindrica","ae","weedy","This weedy coral colony is monitored at the ""Airport"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Aéroport""","by-nc-sa","https://api.sketchfab.com/v3/models/2468ab99a8fb40ef90a6c90c8f08d8cd","2468ab99a8fb40ef90a6c90c8f08d8cd"
"ib_022022_1","/data/outputs/ib_022022_1","Acropora sp.","ib","competitive","This competitive coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/7aac8274b7d84c9a8d500343839232e8","7aac8274b7d84c9a8d500343839232e8"
"ib_022022_10","/data/outputs/ib_022022_10","Porites cylindrica","ib","weedy","This weedy coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/91999023c27d4a84a656e03508212d40","91999023c27d4a84a656e03508212d40"
"ib_022022_11","/data/outputs/ib_022022_11","Platygyra daedalea","ib","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/86a0eef236314fd0a5f0934359df8de7","86a0eef236314fd0a5f0934359df8de7"
"ib_022022_12","/data/outputs/ib_022022_12","Platygyra daedalea","ib","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/1f7e498686c04dd68e6ad96a5d583c70","1f7e498686c04dd68e6ad96a5d583c70"
"ib_022022_13","/data/outputs/ib_022022_13","Platygyra daedalea","ib","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/2984f5a169bc4a70b42958de6baf16ad","2984f5a169bc4a70b42958de6baf16ad"
"ib_022022_14","/data/outputs/ib_022022_14","Platygyra daedalea","ib","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/4f32a0bfe488441d901ad8a816336b12","4f32a0bfe488441d901ad8a816336b12"
"ib_022022_15","/data/outputs/ib_022022_15","Platygyra daedalea","ib","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/f6745cdd75e8453fa967054396942484","f6745cdd75e8453fa967054396942484"
"ib_022022_16","/data/outputs/ib_022022_16","Echinopora lamellosa","ib","na","This na coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/d3a191102916461cb80146c43944f3df","d3a191102916461cb80146c43944f3df"
"ib_022022_17","/data/outputs/ib_022022_17","Echinopora lamellosa","ib","na","This na coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/dbe0212a4fcf49acb8109b450807bd68","dbe0212a4fcf49acb8109b450807bd68"
"ib_022022_18","/data/outputs/ib_022022_18","Echinopora lamellosa","ib","na","This na coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type  est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/d077f6e030304a9cb83c13267d8ed1ab","d077f6e030304a9cb83c13267d8ed1ab"
"ib_022022_2","/data/outputs/ib_022022_2","Acropora sp.","ib","competitive","This competitive coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/d6913cfa443c4bd2957546700ae00171","d6913cfa443c4bd2957546700ae00171"
"ib_022022_3","/data/outputs/ib_022022_3","Acropora sp.","ib","competitive","This competitive coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/37ed2556e8f744ebb7f01ed956d94bd0","37ed2556e8f744ebb7f01ed956d94bd0"
"ib_022022_4","/data/outputs/ib_022022_4","Acropora sp.","ib","competitive","This competitive coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/d29e579be1d44f77a83d0d91aa43aa41","d29e579be1d44f77a83d0d91aa43aa41"
"ib_022022_5","/data/outputs/ib_022022_5","Acropora sp.","ib","competitive","This competitive coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/edb8ec6653fd4d87be8478ccc4474834","edb8ec6653fd4d87be8478ccc4474834"
"ib_022022_6","/data/outputs/ib_022022_6","Porites cylindrica","ib","weedy","This weedy coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/6f2e8f9ad5de4593b94b3ea4a5a64311","6f2e8f9ad5de4593b94b3ea4a5a64311"
"ib_022022_7","/data/outputs/ib_022022_7","Porites cylindrica","ib","weedy","This weedy coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/3a053cd47bbf4d30b0e0a390caf03b68","3a053cd47bbf4d30b0e0a390caf03b68"
"ib_022022_8","/data/outputs/ib_022022_8","Porites cylindrica","ib","weedy","This weedy coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/4c891e9db39c48728be22c8d23710b80","4c891e9db39c48728be22c8d23710b80"
"ib_022022_9","/data/outputs/ib_022022_9","Porites cylindrica","ib","weedy","This weedy coral colony is monitored at the ""Île Blanche"" site of Mayotte","Cette colonie corallienne de type opportuniste est suivie au site ""Île Blanche""","by-nc-sa","https://api.sketchfab.com/v3/models/0787966bf79a4359be55f1d7cead70ed","0787966bf79a4359be55f1d7cead70ed"
"jr_022022_1","/data/outputs/jr_022022_1","Acropora humilis","jr","competitive","This competitive coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type compétitif est suivie au site ""Jolly Roger""","by-nc-sa","https://api.sketchfab.com/v3/models/f4243fff10ca42fdbd4a5d1330a80784","f4243fff10ca42fdbd4a5d1330a80784"
"jr_022022_10","/data/outputs/jr_022022_10","Echinopora gemmacea","jr","generalist","This generalist coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type généraliste est suivie au site ""Jolly Roger""","by-nc-sa","https://api.sketchfab.com/v3/models/5d4dac98c39f45f592f9611442ba5cd7","5d4dac98c39f45f592f9611442ba5cd7"
"jr_022022_11","/data/outputs/jr_022022_11","Platygyra daedalea","jr","stress-tolerant","This stress-tolerant coral colony is monitored at the ""Jolly Roger"" site of Mayotte","Cette colonie corallienne de type robuste est suivie au site ""Jolly Roger""","by-nc-sa","https://api.sketchfab.com/v3/models/b07d4a0993dd48f2b6a1fca614dfc568","b07d4a0993dd48f2b6a1fca614dfc568"
