"Date","Site","Name","Point.GPS.Sophie","X","Y","Z","Espèce","Taille..P..M..G.","Remarques","observer"
"2/21/2022 6:59","Ile Blanche","1","105",45.171445,-12.715693,-2.8,"Ac. Sp","","","FG"
"2/21/2022 6:59","Ile Blanche","2","107",45.171497,-12.715714,-2.7,"Ac. Sp","","","FG"
"2/21/2022 7:03","Ile Blanche","11","109",45.171461,-12.715676,-2.3,"Platygyra daedalea","G","","AC"
"2/21/2022 7:04","Ile Blanche","6","110",45.171461,-12.715666,-2.5,"Pori. cylind.","","","SB"
"2/21/2022 7:04","Ile Blanche","9","111",45.171448,-12.715671,-2.8,"Pori. cylind.","","","SB"
"2/21/2022 7:05","Ile Blanche","7","112",45.171453,-12.715655,-2.8,"Pori. cylind.","","","SB"
"2/21/2022 7:06","Ile Blanche","4","113",45.171503,-12.71568,-2.4,"Ac. Sp","","","FG"
"2/21/2022 7:07","Ile Blanche","8","115",45.171537,-12.715662,-2.7,"Pori. cylind.","","","SB"
"2/21/2022 7:07","Ile Blanche","3","116",45.171533,-12.715654,-2.8,"Ac. Sp","","","FG"
"2/21/2022 7:08","Ile Blanche","13","117",45.171582,-12.715704,-2.2,"Platygyra daedalea","M","","AC"
"2/21/2022 7:08","Ile Blanche","14","118",45.171537,-12.715732,-2.5,"Platygyra daedalea","P","","AC"
"2/21/2022 7:09","Ile Blanche","15","119",45.171481,-12.715698,-2.5,"Platygyra daedalea","P/M","","AC"
"2/21/2022 7:10","Ile Blanche","5","120",45.171505,-12.715645,-2.6,"Ac. Sp","","","FG"
"2/21/2022 7:12","Ile Blanche","12","121",45.171481,-12.715675,-2.6,"Platygyra daedalea","P/M","","AC"
"2/21/2022 7:18","Ile Blanche","10","122",45.171524,-12.715618,-2.7,"Pori. cylind.","","","SB"
"2/21/2022 7:35","Ile Blanche","16","123",45.171451,-12.715689,-1.6,"Echinopora lamellosa","G","","AC"
"2/21/2022 7:56","Ile Blanche","17","125",45.171516,-12.715636,-1.7,"Echinopora lamellosa","P","","AC"
"2/21/2022 8:14","Ile Blanche","18","126",45.171535,-12.715655,-1.6,"Echinopora lamellosa","M","","AC"
"2/21/2022 11:41","Bandrele","3","129",45.203536,-12.905315,-0.8,"Ac. Cf tenuis cf digitifera","","","FG"
"2/21/2022 11:42","Bandrele","2","131",45.203506,-12.905403,-1.9,"Ac. Cf tenuis cf digitifera","","","FG"
"2/21/2022 11:43","Bandrele","12","133",45.20351,-12.905437,-2.9,"Galaxea astreata","G","","AC"
"2/21/2022 11:43","Bandrele","1","134",45.203488,-12.905446,-2.1,"Ac. Cf tenuis cf digitifera","","","FG"
"2/21/2022 11:45","Bandrele","10","137",45.203581,-12.905444,-3.2,"Seriatopora","","","SB"
"2/21/2022 11:45","Bandrele","8","138",45.203572,-12.905445,-3.4,"Seriatopora","","","SB"
"2/21/2022 11:46","Bandrele","5","139",45.203581,-12.905391,-3.1,"Ac. Cf tenuis cf digitifera","","","FG"
"2/21/2022 11:46","Bandrele","7","140",45.203584,-12.905385,-3.5,"Seriatopora","","Non modélisé - partie morte","SB"
"2/21/2022 11:47","Bandrele","14","141",45.203556,-12.905395,-2.8,"Galaxea astreata","P","","AC"
"2/21/2022 11:48","Bandrele","11","143",45.203548,-12.9054,-3.2,"Galaxea astreata","P","","AC"
